base,fr
vocabularies,Terminologies
vocabulary_concepts,Concepts de la terminologie
vocabulary_table,Table de la terminologie
vocabulary_tables,Tables de la terminologie
vocabularies_tables,Tables des terminologies
vocabulary_reference,Référence de la documentation de la terminologie
vocabulary_version,Version de la terminologie
vocabulary_concept_id,Concept ID de la terminologie
display_order,Ordre d'affichage
import_vocabulary,Importer une terminologie
imported_vocabularies,Terminologies importées
imported_data,Données importées
invalid_vocabulary_table,Nom de table de terminologie non valide
vocabularies_table_delete,Suppression de lignes
vocabularies_table_delete_subtext,Confirmer la suppression de la / des ligne(s) ?
vocabulary_table_rows_deleted,Ligne(s) supprimée(s)
vocab_tables_duplicates_cols,Certaines colonnes ont des valeurs dupliquées. Voir l'aide pour connaître les colonnes n'acceptant pas de valeurs dupliquées.
vocab_tables_empty_cols,Certaines colonnes ont des valeurs nulles. Voir l'aide pour connaître les colonnes n'acceptant pas de valeurs nulles.
vocabularies_datatable_show_row_details,Afficher les détails de la ligne sélectionnée
vocabularies_datatable_show_mapped_concepts,Afficher les concepts alignés
show_mapped_concepts,Afficher les concepts alignés
select_only_one_row_for_details,Sélectionner une seule ligne pour afficher les détails de la ligne sélectionnée
load_concept_data_before,Charger la table CONCEPT avant
load_concept_relationship_data_before,Charger la table CONCEPT_RELATIONSHIP avant
error_importing_vocabulary,Erreur lors de l'importation du ou des terminologie(s)
all_vocabularies,Toutes les terminologies
success_importing_vocabulary,Terminologie(s) importée(s) avec succès
study_description,Description de l'étude
studies_description_card,Description de l'étude
error_loading_plugins_xml_file,Erreur lors du téléchargement du fichier plugins.xml depuis le git distant
error_loading_home_files,Erreur lors du téléchargement des fichiers de la page d'accueil
summary,Sommaire
omop_version,Version d'OMOP
invalid_omop_version,"Version d'OMOP non valide. Versions valides : 5.3, 5.4 et 6.0."
rows_inserted,Lignes ajoutées
concept_name,Nom du concept
concept_name_1,Nom du concept 1
concept_name_2,Nom du concept 2
concept_display_name,Nom d'affichage du concept
concept_display_name_1,Nom d'affichage du concept 1
concept_display_name_2,Nom d'affichage du concept 2
domain_id,ID du domaine
concept_class_id,ID de la classe du concept
standard_concept,Concept standard
concept_code,Code du concept
valid_start_date,Date de début de validité
valid_end_date,Date de fin de validité
invalid_reason,Raison d'invalidité
relationship_id,ID de la relation
dataset_all_concepts_reload_cache,Recharger le cache
dataset_all_concepts_reload_cache_subtext,Confirmer la recharge de la mémoire cache ?
cache_reloaded,Cache rechargé
delete_tab,Supprimer l'onglet
value_as_number,Valeur numérique
values_as_number,Valeurs numériques
value_as_concept_id,Valeur en tant que concept
values_as_concept_id,Valeurs en tant que concepts
value_as_string,Valeur textuelle
values_as_string,Valeurs textuelles
quantity,Quantité
quantities,Quantités
title,Titre
titles,Titres
text,Texte
texts,Textes
proportion,Proportion
no_data_to_show,Pas de donneés à afficher
too_many_x_axis_values,Trop de données dans l'axe des x
maps_to,Correspond à
mapped_from,Provient de
is_a,Est inclus dans
subsumes,Inclut
