base,fr
invalid_vocabulary_table,Nom de table de terminologie non valide
vocabularies_table_delete,Suppression de lignes
vocabularies_table_delete_subtext,Confirmer la suppression de la / des ligne(s) ?
vocabulary_table_rows_deleted,Ligne(s) supprimée(s)
vocab_tables_duplicates_cols,Certaines colonnes ont des valeurs dupliquées. Voir l'aide pour connaître les colonnes n'acceptant pas de valeurs dupliquées.
vocab_tables_empty_cols,Certaines colonnes ont des valeurs nulles. Voir l'aide pour connaître les colonnes n'acceptant pas de valeurs nulles.
vocabularies_datatable_show_row_details,Afficher les détails de la ligne sélectionnée
vocabularies_datatable_show_mapped_concepts,Afficher les concepts alignés
show_mapped_concepts,Afficher les concepts alignés
select_only_one_row_for_details,Sélectionner une seule ligne pour afficher les détails de la ligne sélectionnée
load_concept_data_before,Charger la table CONCEPT avant
load_concept_relationship_data_before,Charger la table CONCEPT_RELATIONSHIP avant
error_importing_vocabulary,Erreur lors de l'importation du ou des terminologie(s)
all_vocabularies,Toutes les terminologies
success_importing_vocabulary,Terminologie(s) importée(s) avec succès
study_description,Description de l'étude
studies_description_card,Description de l'étude
error_loading_plugins_xml_file,Erreur lors du téléchargement du fichier plugins.xml depuis le git distant
error_loading_home_files,Erreur lors du téléchargement des fichiers de la page d'accueil
summary,Sommaire
omop_version,Version d'OMOP
invalid_omop_version,"Version d'OMOP non valide. Versions valides : 5.3, 5.4 et 6.0."
rows_inserted,Lignes ajoutées
concept_name,Nom du concept
concept_name_1,Nom du concept 1
concept_name_2,Nom du concept 2
mapped_concept_name,Nom du concept aligné
concept_display_name,Nom d'affichage du concept
concept_display_name_1,Nom d'affichage du concept 1
concept_display_name_2,Nom d'affichage du concept 2
mapped_concept_display_name,Nom d'affichage du concept aligné
domain_id,ID du domaine
concept_class_id,ID de la classe du concept
standard_concept,Concept standard
concept_code,Code du concept
valid_start_date,Date de début de validité
valid_end_date,Date de fin de validité
invalid_reason,Raison d'invalidité
relationship_id,ID de la relation
dataset_all_concepts_reload_cache,Recharger le cache
dataset_all_concepts_reload_cache_subtext,Confirmer la recharge de la mémoire cache ?
cache_reloaded,Cache rechargé
delete_tab,Supprimer l'onglet
value_as_number,Valeur numérique
values_as_number,Valeurs numériques
value_as_concept_id,Valeur en tant que concept
values_as_concept_id,Valeurs en tant que concepts
value_as_string,Valeur textuelle
values_as_string,Valeurs textuelles
quantity,Quantité
quantities,Quantités
title,Titre
titles,Titres
text,Texte
texts,Textes
proportion,Proportion
no_data_to_show,Pas de donneés à afficher
too_many_x_axis_values,Trop de données dans l'axe des x
maps_to,Correspond à (non-std vers std)
mapped_from,Correspond à (std vers non-std)
is_a,Est inclus dans
subsumes,Inclut
error_calculating_num_rows_concepts_dataset,Erreur lors du calcul du nombre de lignes par concept dans le set de données
show_only_not_mapped_concepts,Concepts non alignés uniquement
vocabulary_show_only_not_evaluated_concepts,Alignements non évalués uniquement
vocabulary_show_mapping_details,Afficher le détail de l'alignement sélectionné
add_git_repo,Ajouter un dépôt git
git_repos_management,Gestion des dépôts git
git_add_repo_card_user_access_description,Ajouter un dépôt git
git_repos_management_card_user_access_description,Gestion des dépôts git
link,Lien
url_address,Adresse URL
git_repos_delete,Suppression de dépôt git
git_repos_delete_subtext,Confirmer la suppression du dépôt git ?
git_repo_deleted,Dépôt git supprimé
all_categories,Toutes les catégories
show_data,Afficher les données
hide_concepts_datatables,Masquer les tableaux
study_delete_conversation_title,Supprimer une conversation
study_delete_conversation_subtext,Confirmer la suppression de cette conversation ?
study_delete_message_title,Supprimer un message
study_delete_message_subtext,Confirmer la suppression de ce message ?
deleted_message,Message supprimé
fail_load_message,Erreur lors du chargement d'un message
fail_load_message_show_raw_message,"Erreur lors du chargement du message, affichage du texte brut."
main_tables_to_export,Tables de la BDD principale
public_tables_to_export,Tables de la BDD publique
main_tables_to_import,Tables de la BDD principale
public_tables_to_import,Tables de la BDD publique
error_downloading_tabs_and_cards_csv_file,Erreur lors du téléchargement du fichier tabs_and_cards.csv
error_loading_tabs_and_cards_csv_file,Erreur lors du chargement du fichier tabs_and_cards.csv
invalid_vocabulary_id_value,Valeur de vocabulary_id non valide
invalid_concept_name_value,Valeur de concept_name non valide
invalid_domain_id_value,Valeur de domain_id non valide
invalid_concept_class_id_value,Valeur de concept_class_id non valide
invalid_concept_code_value,Valeur de concept_code non valide
vocabulary_concept_already_exists,Ce concept est déjà présent dans la base de données
vocabulary_concept_added,Nouveau concept ajouté
vocabulary_id_doesnt_exist,Ce vocabulary_id n'existe pas dans la base de données
invalid_method_value,Valeur de method non valide
invalid_concept_id_value,Valeur de concept_id non valide
concept_not_found,Concept non trouvé
error_loading_script_description,Erreur lors du chargement de la description du script
access_to_data,Accéder aux données
scripts_and_plugins,Scripts & plugins
comment,Commentaire
